"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba de automatizacion de contact Us usando screenplay","enviar un mensaje al area de soporte con los campos requeridos","SUCCESS","2022-03-27T00:21:54.848-05:00[America/Bogota]","0.0","6.27"
"Prueba de automatizacion de contact Us usando screenplay","enviar un mensaje al area de soporte con todos los campos","SUCCESS","2022-03-27T00:22:01.248-05:00[America/Bogota]","0.0","6.85"
