"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de usuario en la plataforma","Registrar un usuario nuevo con todos los campos","SUCCESS","2022-03-27T08:01:10.806-05:00[America/Bogota]","0.0","18.81"
"Registro de usuario en la plataforma","Registrar un usuario nuevo solo con los campos requeridos","SUCCESS","2022-03-27T08:01:30.27-05:00[America/Bogota]","0.0","12.79"
