"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba de automatizacion de contact Us usando screenplay","enviar un mensaje al area de soporte con los campos requeridos","SUCCESS","2022-03-27T08:00:12.206-05:00[America/Bogota]","0.0","10.82"
"Prueba de automatizacion de contact Us usando screenplay","enviar un mensaje al area de soporte con todos los campos","SUCCESS","2022-03-27T08:00:23.678-05:00[America/Bogota]","0.0","7.96"
"Login de usuario en la plataforma","Loguear un usuario nuevo con todos los campos","SUCCESS","2022-03-27T08:00:33.138-05:00[America/Bogota]","0.0","19.57"
"Login de usuario en la plataforma","Loguin de usuario no posible por error en la contrasena","SUCCESS","2022-03-27T08:00:53.363-05:00[America/Bogota]","0.0","16.76"
"Registro de usuario en la plataforma","Registrar un usuario nuevo con todos los campos","SUCCESS","2022-03-27T08:01:10.806-05:00[America/Bogota]","0.0","18.81"
"Registro de usuario en la plataforma","Registrar un usuario nuevo solo con los campos requeridos","SUCCESS","2022-03-27T08:01:30.27-05:00[America/Bogota]","0.0","12.79"
